date,product,region,revenue,quantity,returns
2024-01-01,Widget Alpha,North,2250.5,28,5
2024-01-02,Widget Epsilon,North,1817.87,27,0
2024-01-04,Widget Alpha,South,779.36,11,2
2024-01-06,Widget Epsilon,West,745.93,9,1
2024-01-08,Widget Alpha,South,2150.1,26,2
2024-01-10,Widget Alpha,North,1219.82,17,2
2024-01-11,Widget Epsilon,East,2484.6,29,3
2024-01-13,Widget Alpha,East,2557.88,32,6
2024-01-15,Widget Gamma,South,2194.7,24,0
2024-01-17,Widget Beta,North,1234.83,11,2
2024-01-19,Widget Gamma,South,1208.73,12,2
2024-01-20,Widget Alpha,South,1703.42,17,1
2024-01-22,Widget Delta,West,914.63,10,1
2024-01-24,Widget Alpha,South,2580.07,30,3
2024-01-26,Widget Gamma,North,741.75,11,2
2024-01-28,Widget Delta,West,2785.53,32,3
2024-01-29,Widget Beta,East,529.16,4,1
2024-01-31,Widget Epsilon,West,1208.43,14,2
2024-02-02,Widget Delta,North,2415.52,31,5
2024-02-04,Widget Delta,North,1285.13,17,3
2024-02-06,Widget Epsilon,East,3091.09,38,4
2024-02-07,Widget Gamma,North,1011.07,11,1
2024-02-09,Widget Alpha,East,3111.09,41,4
2024-02-11,Widget Epsilon,South,580.72,13,0
2024-02-13,Widget Epsilon,North,1969.2,31,6
2024-02-15,Widget Gamma,South,288.08,4,0
2024-02-16,Widget Alpha,West,2658.85,31,5
2024-02-18,Widget Delta,South,939.03,11,1
2024-02-20,Widget Beta,South,2349.63,33,3
2024-02-22,Widget Epsilon,West,490.14,5,0
2024-02-24,Widget Gamma,North,1968.64,24,0
2024-02-25,Widget Beta,North,2979.21,37,1
2024-02-27,Widget Epsilon,South,994.71,12,2
2024-02-29,Widget Epsilon,West,884.36,12,1
2024-03-02,Widget Beta,North,419.97,3,0
2024-03-04,Widget Alpha,North,1400.7,19,0
2024-03-05,Widget Beta,South,721.98,10,1
2024-03-07,Widget Beta,North,1538.82,20,0
2024-03-09,Widget Alpha,North,3241.84,41,7
2024-03-11,Widget Delta,South,2912.56,34,1
2024-03-13,Widget Delta,North,3312.28,46,4
2024-03-14,Widget Delta,West,99999.99,500,0
2024-03-16,Widget Beta,South,1081.47,11,2
2024-03-18,Widget Epsilon,North,2561.85,35,2
2024-03-20,Widget Alpha,North,2907.99,37,1
2024-03-22,Widget Beta,West,508.11,6,0
2024-03-23,Widget Delta,East,3198.52,44,5
2024-03-25,Widget Beta,East,1423.72,15,0
2024-03-27,Widget Alpha,West,2175.16,24,0
2024-03-29,Widget Alpha,South,1797.42,28,1
2024-03-31,Widget Gamma,East,641.09,5,1
2024-04-01,Widget Epsilon,North,2348.43,28,1
2024-04-03,Widget Gamma,North,3098.27,42,8
2024-04-05,Widget Beta,East,1062.91,12,2
2024-04-07,Widget Gamma,West,962.43,10,0
2024-04-09,Widget Delta,East,265.45,3,1
2024-04-10,Widget Beta,West,1985.45,20,4
2024-04-12,Widget Alpha,North,372.62,7,1
2024-04-14,Widget Epsilon,South,1580.65,17,2
2024-04-16,Widget Gamma,North,3186.0,37,5
2024-04-18,Widget Epsilon,West,3450.47,39,2
2024-04-19,Widget Beta,South,3467.37,43,5
2024-04-21,Widget Delta,South,1036.25,12,0
2024-04-23,Widget Delta,North,3079.42,40,5
2024-04-25,Widget Gamma,South,889.8,17,1
2024-04-27,Widget Delta,East,1085.0,15,3
2024-04-28,Widget Epsilon,East,3382.9,41,4
2024-04-30,Widget Beta,East,253.35,1,1
2024-05-02,Widget Delta,North,1465.35,20,1
2024-05-04,Widget Gamma,North,2601.66,27,5
2024-05-06,Widget Beta,East,1634.42,19,2
2024-05-07,Widget Epsilon,East,2454.9,30,2
2024-05-09,Widget Delta,East,1540.62,16,1
2024-05-11,Widget Beta,West,2472.49,28,4
2024-05-13,Widget Epsilon,East,1561.25,13,1
2024-05-15,Widget Gamma,South,1649.68,18,3
2024-05-16,Widget Delta,South,1943.19,22,1
2024-05-18,Widget Alpha,East,1963.21,23,1
2024-05-20,Widget Gamma,South,3009.77,36,0
2024-05-22,Widget Alpha,South,3653.37,46,6
2024-05-24,Widget Epsilon,South,2707.17,32,3
2024-05-25,Widget Delta,South,656.25,13,0
2024-05-27,Widget Delta,South,760.15,9,1
2024-05-29,Widget Alpha,South,3448.07,37,5
2024-05-31,Widget Delta,West,3140.83,40,7
2024-06-02,Widget Beta,West,1763.53,22,4
2024-06-03,Widget Delta,South,1127.59,18,2
2024-06-05,Widget Beta,East,1354.26,18,3
2024-06-07,Widget Beta,South,361.84,5,1
2024-06-09,Widget Epsilon,West,1654.38,22,4
2024-06-11,Widget Alpha,West,1883.72,20,2
2024-06-12,Widget Delta,West,2114.25,22,1
2024-06-14,Widget Delta,South,1137.57,13,0
2024-06-16,Widget Delta,East,2608.82,31,1
2024-06-18,Widget Epsilon,North,3499.98,38,0
2024-06-20,Widget Alpha,West,634.18,8,1
2024-06-21,Widget Beta,West,1349.63,18,3
2024-06-23,Widget Gamma,West,1073.58,8,0
2024-06-25,Widget Gamma,South,2569.13,33,5
2024-06-27,Widget Alpha,North,3701.47,48,3
